FirstName,LastName,Username,HW01,HW02,HW03,HW04,HW05,HW06,HW07,HW08,HW09,HW10,HW11,HW12,HW13,HW14,HW15,Quiz01,Quiz02,Quiz03,Quiz04,Quiz05,Midterm1,Midterm2,Final
Leo,Carter,l21carte,50,70,70,71,69,77,57,67,64,65,78,60,69,67,69,66,75,68,52,44,46,77,71
Camila,Collins,c28col,77,83,87,79,75,77,71,79,70,83,78,45,76,70,71,68,81,76,62,79,69,56,67
Kevin,Gonzalez,k12gonz,100,96,100,95,98,100,93,96,93,94,96,96,90,91,91,100,87,91,100,97,100,71,100
Ximena,Sanders,x18sande,69,85,88,80,86,85,78,88,86,85,89,81,81,83,94,89,100,100,87,95,100,78,73
Lila,Sanders,l1sand,94,94,87,100,93,94,88,100,94,97,100,98,100,86,66,95,100,95,90,98,84,87,100
Adrian,Kelly,a17kelly,71,85,64,81,85,64,70,77,67,77,85,87,87,56,81,82,63,79,57,76,65,90,78
Xavier,Campbell,x20cam,79,86,54,75,89,74,97,79,93,87,77,85,81,79,71,69,77,67,75,68,74,73,65
Kevin,Russell,k17rus,53,67,73,86,47,82,77,64,88,78,82,81,58,79,83,67,87,72,32,97,66,88,62
Ximena,Green,x28gree,100,95,92,98,99,96,86,94,99,100,88,88,98,91,97,90,97,93,93,87,82,100,95
Parker,Adams,p12adam,75,69,57,72,84,56,69,65,65,79,75,62,81,66,89,48,79,70,75,69,72,53,47
Umar,Adams,u2ada,58,92,81,74,79,76,58,72,68,78,66,90,90,66,71,77,80,60,80,58,76,68,55
Kevin,Carter,k18cart,91,77,87,55,71,63,79,84,71,74,81,64,73,34,84,48,68,69,73,81,79,72,66
Tessa,Gray,t3gra,96,98,85,100,89,91,100,89,97,99,95,97,100,100,88,100,100,96,95,95,100,87,100
Yara,Gray,y9gray,54,49,63,60,74,47,58,51,62,62,58,90,79,51,78,62,70,63,40,65,67,82,75
Uma,Watson,u23watso,88,87,81,87,87,83,84,82,90,77,85,82,91,86,82,90,86,78,90,90,79,79,79
Ian,Jackson,i7jack,89,86,83,81,82,71,69,57,68,76,76,30,77,74,77,61,71,81,75,74,53,79,56
Priya,Gonzalez,p2gonz,76,69,78,89,88,90,70,78,79,77,83,66,78,92,72,67,78,76,74,56,73,78,79
Zara,Adams,z29adams,87,87,78,88,89,82,85,73,75,87,87,88,91,79,82,90,92,97,100,75,100,86,97
Willow,White,w22whi,97,100,100,91,97,91,96,100,99,97,94,93,90,96,97,100,95,92,100,100,96,100,100
Aaliyah,Campbell,a4cam,76,81,64,63,97,81,69,84,66,73,72,77,85,70,81,58,58,82,82,86,89,31,64
Ian,Adams,i5adams,93,80,74,87,61,94,86,83,93,85,89,87,94,86,95,98,96,83,86,75,86,83,81
Yara,Green,y22gre,61,50,80,69,87,73,68,72,75,76,70,68,68,80,75,82,76,92,75,68,68,69,67
Miles,Flores,m10flo,100,95,85,69,84,98,81,100,85,92,81,99,83,100,84,84,82,87,92,98,67,87,66
Wesley,Hughes,w25hugh,79,94,100,92,89,98,97,93,100,100,87,94,100,84,100,89,100,91,100,100,90,89,100
Kevin,Morgan,k20morg,84,77,89,85,82,83,84,96,84,95,84,88,84,81,82,92,73,92,76,75,85,81,69
