FirstName,LastName,Username,HW01,HW02,HW03,HW04,HW05,HW06,HW07,HW08,HW09,HW10,HW11,HW12,HW13,HW14,HW15,Quiz01,Quiz02,Quiz03,Quiz04,Quiz05,Midterm1,Midterm2,Final
Olga,Nelson,o15nelso,79,85,74,69,72,71,84,81,71,86,67,71,89,76,74,79,63,83,69,73,67,73,80
Yusuf,Diaz,y10diaz,66,73,55,59,66,51,60,75,66,75,72,71,65,82,73,89,77,80,71,78,66,71,58
Wesley,Shah,w6sha,97,100,93,94,90,94,100,99,90,100,91,94,89,96,88,91,90,97,93,91,84,92,79
Qi,Rogers,q6rog,85,93,90,80,82,78,93,95,90,86,92,81,94,84,93,90,91,89,86,85,93,98,98
Maya,Gonzalez,m2gon,20,32,20,55,76,45,71,54,43,83,69,42,57,60,75,27,68,32,45,93,18,8,20
Leo,Stewart,l20ste,87,94,73,97,91,89,91,81,87,82,86,84,77,79,90,90,100,86,45,78,87,46,88
Theo,King,t21king,50,73,95,61,82,77,100,34,86,79,90,93,94,90,72,86,90,71,63,85,78,78,65
Kaitlyn,Gonzalez,k8gonz,65,66,44,62,75,41,78,62,48,57,67,58,81,67,82,80,65,60,85,75,61,90,56
Fatima,Wood,f25woo,76,34,0,41,59,56,53,59,57,81,62,85,43,85,45,47,52,52,74,33,6,91,48
Theo,Cooper,t17coop,76,88,66,83,82,79,76,81,67,83,78,84,96,79,90,55,86,65,82,85,66,73,95
Fatima,Nelson,f19nel,77,77,95,64,68,26,70,54,74,81,77,82,75,58,65,65,49,51,70,82,52,61,45
Evan,Lopez,e23lop,94,52,72,88,94,94,90,87,100,79,74,100,86,76,83,79,82,97,49,77,91,69,46
Zane,Edwards,z29edwa,80,27,67,69,65,70,61,74,58,77,69,60,64,70,80,59,62,71,68,4,65,57,60
Wesley,Price,w3pric,76,72,79,77,67,70,81,90,85,81,85,69,80,65,84,81,90,57,72,73,74,75,97
Aaliyah,Adams,a8ada,95,100,93,94,93,89,83,90,98,98,93,95,99,92,100,71,95,90,96,100,75,97,93
Maya,Russell,m24russ,82,95,91,88,96,95,79,85,81,80,76,95,92,93,95,82,68,90,70,79,88,86,79
Tessa,Reed,t11ree,51,57,36,49,18,55,51,47,64,56,23,51,31,16,50,60,65,81,59,33,13,0,62
Daisy,Gonzalez,d26gon,69,73,68,51,64,80,73,66,62,59,66,62,61,59,73,56,49,70,83,53,73,55,65
Dylan,Russell,d3russe,72,81,89,78,57,80,85,81,88,75,80,80,89,87,84,93,80,98,96,93,82,100,89
Hugo,Gonzalez,h26gon,58,49,21,69,40,46,79,57,100,71,65,25,61,42,62,26,38,41,36,58,66,21,20
Leo,Price,l9pri,89,75,97,53,78,65,86,84,90,99,79,96,80,93,90,74,85,88,62,97,81,64,100
Quinn,Shah,q7sha,79,91,97,91,94,89,46,84,81,75,85,82,84,87,89,81,100,85,82,79,88,84,24
Santiago,Watson,s7wat,48,59,44,71,30,68,62,38,47,46,8,67,47,32,26,44,59,27,68,59,19,49,17
Yusuf,Edwards,y27edwa,40,47,59,79,65,69,31,36,62,7,64,64,53,46,64,49,53,8,33,70,4,64,35
Uma,Adams,u24adam,15,55,44,29,33,68,49,57,63,58,53,18,66,36,35,62,30,10,52,35,33,26,26
