FirstName,LastName,Username,HW01,HW02,HW03,HW04,HW05,HW06,HW07,HW08,HW09,HW10,HW11,HW12,HW13,HW14,HW15,Quiz01,Quiz02,Quiz03,Quiz04,Quiz05,Midterm1,Midterm2,Final
Rafael,Foster,r24fost,69,72,67,75,65,49,73,27,63,86,84,74,51,36,82,85,71,37,31,65,75,51,77
Evan,Adams,e26adams,75,63,85,58,58,64,69,58,65,71,86,70,77,34,84,54,59,65,54,72,62,48,54
Riley,Zimmerman,r2zim,51,45,86,40,61,69,53,85,93,38,22,19,41,52,32,25,68,34,23,59,58,59,49
Adrian,Russell,a28russe,95,92,90,100,74,86,87,99,93,94,94,95,90,97,96,94,99,95,100,91,100,85,90
Ximena,Cooper,x4coop,92,91,88,96,91,96,94,91,96,97,88,95,88,100,96,100,100,93,81,93,95,90,77
Camila,Ramirez,c28rami,94,91,92,100,91,92,91,94,91,93,93,97,96,98,100,100,100,87,93,95,100,100,97
Felix,Rogers,f2rog,40,64,61,45,43,45,63,56,6,40,58,59,49,55,54,45,69,31,47,70,9,27,47
Jada,Carter,j15cart,85,86,78,80,86,81,93,80,66,93,84,91,86,83,90,81,100,84,91,97,75,100,66
Hannah,Baker,h27bake,86,77,88,80,96,86,91,84,88,85,84,94,100,83,84,80,84,92,73,76,75,100,99
Sara,Sanchez,s2san,90,86,83,85,86,84,86,88,78,87,86,77,76,81,85,70,92,97,81,99,91,85,70
Tessa,Cooper,t29coope,77,74,62,84,84,73,99,77,88,65,96,76,73,67,67,72,71,85,79,74,75,60,65
Jada,Edwards,j28edwa,94,85,80,48,95,85,87,79,64,91,68,70,100,69,83,80,90,81,81,63,76,84,66
Ximena,Morgan,x13morg,100,100,99,88,100,92,99,93,89,85,83,95,99,98,94,78,84,88,96,88,96,100,93
Iris,Edwards,i23edw,51,77,25,68,83,89,77,65,60,68,89,76,80,78,82,83,91,74,90,61,58,57,48
Brandon,Watson,b8wat,76,80,84,89,96,89,82,92,82,88,90,78,76,99,92,47,91,89,96,92,75,74,86
Wesley,Turner,w4turn,92,76,92,82,91,80,74,77,85,84,83,89,81,89,92,92,89,83,86,90,76,77,76
Lila,Sanchez,l9sanch,72,78,77,87,85,81,88,85,87,85,86,83,84,90,96,80,68,75,87,61,87,94,98
Santiago,Wright,s25wri,85,81,67,78,45,79,77,88,86,84,78,85,69,85,68,66,49,91,73,63,68,75,79
Gabriela,Miller,g5mil,95,87,96,81,88,89,77,95,84,87,84,68,71,87,81,83,70,88,88,74,77,98,87
Brandon,Murphy,b17murph,74,82,79,30,95,94,60,62,87,97,81,81,85,80,68,61,63,68,70,72,44,75,57
Kaitlyn,Diaz,k19dia,69,68,77,65,55,78,66,99,71,86,73,73,71,77,79,67,67,51,74,62,80,51,80
Gabriela,Green,g26green,61,58,78,68,73,60,52,15,56,44,39,42,27,38,67,1,83,37,50,95,16,100,48
Ximena,Foster,x15fos,73,67,80,89,79,74,82,73,84,83,62,93,80,67,79,74,88,79,68,50,26,77,47
Miles,King,m28kin,76,79,85,87,89,84,82,67,79,85,84,95,92,87,80,93,96,70,75,78,78,84,81
Camila,Russell,c22rus,86,87,90,85,97,83,74,88,89,79,96,65,95,89,87,94,76,96,80,76,100,86,82
