FirstName,LastName,Username,HW01,HW02,HW03,HW04,HW05,HW06,HW07,HW08,HW09,HW10,HW11,HW12,HW13,HW14,HW15,Quiz01,Quiz02,Quiz03,Quiz04,Quiz05,Midterm1,Midterm2,Final
Wesley,Henderson,w4hen,97,97,100,97,91,93,67,97,92,86,87,98,95,97,90,94,81,92,100,84,80,100,100
Willow,Mitchell,w17mit,86,62,61,74,84,63,73,67,67,78,77,68,57,80,65,54,75,69,80,34,72,48,80
Elena,Carter,e23cart,90,90,94,93,90,94,100,97,91,100,87,96,84,96,93,94,97,90,98,89,88,96,100
Rafael,Carter,r17cart,47,38,48,33,64,61,61,38,54,61,73,51,70,65,58,51,58,96,9,56,85,18,49
Hugo,Adams,h9adam,71,83,73,83,74,79,68,80,83,73,90,75,74,65,88,84,65,72,83,66,63,68,50
Kaitlyn,Murphy,k4murph,96,91,80,80,71,83,82,80,100,88,86,88,81,79,85,90,67,100,79,77,74,96,78
Kevin,Martin,k18mar,33,89,44,67,73,64,23,36,63,88,75,58,56,53,48,41,40,71,53,71,70,59,36
Hannah,Gonzalez,h20gonza,60,84,78,85,81,75,77,81,76,98,85,80,72,83,73,87,58,35,65,87,83,61,90
Kaitlyn,Carter,k21carte,88,87,92,85,73,80,85,84,96,84,80,93,87,82,82,65,89,90,92,72,82,86,75
Zara,Young,z5you,46,55,68,44,47,43,61,57,61,44,27,72,64,25,71,35,77,72,63,70,76,35,65
Maya,Collins,m11col,98,91,92,98,85,97,98,94,90,89,88,91,98,100,96,97,90,90,99,90,82,87,77
Gabriela,Stewart,g7ste,33,65,54,74,67,53,65,81,69,70,76,53,68,61,65,59,89,63,75,65,59,70,43
Daisy,Gray,d9gra,50,16,71,45,83,65,70,77,29,41,42,36,53,44,74,47,75,43,12,47,69,17,47
Quinn,Morgan,q8morga,72,77,75,89,86,88,83,77,84,80,89,93,85,90,81,87,61,94,93,86,97,87,99
Olga,Baker,o3bak,99,91,94,86,99,95,90,90,96,92,94,92,91,88,93,100,100,83,99,93,99,88,78
Ian,Rivera,i16riv,72,54,91,49,58,76,53,70,81,69,75,49,62,66,67,55,62,69,53,82,51,31,38
Yusuf,Singh,y4sing,77,88,78,48,80,72,72,86,89,91,76,87,79,82,75,63,67,64,60,56,59,69,64
Gavin,Roberts,g18rob,86,88,74,83,96,85,96,84,82,78,85,81,82,94,88,87,97,76,86,90,82,91,99
Fatima,Campbell,f10camp,88,79,90,85,92,74,85,91,100,100,73,81,89,85,92,84,90,76,55,97,100,85,81
Yusuf,Mitchell,y9mit,69,99,99,99,100,97,100,88,90,100,95,96,84,87,92,94,88,92,91,96,88,100,100
Adrian,Gonzalez,a18gonz,78,79,74,16,77,72,68,71,72,70,55,76,62,67,81,67,78,61,77,79,62,57,63
Owen,Foster,o1fost,92,93,89,77,88,75,77,79,92,88,73,82,91,87,79,92,76,82,82,78,75,74,97
Maya,Shah,m18shah,89,85,79,75,67,78,77,75,88,72,85,62,72,85,82,74,75,53,91,77,72,79,68
Theo,Cook,t27coo,83,90,82,66,86,87,65,86,75,89,85,85,92,78,85,78,89,89,84,84,95,67,85
Parker,Young,p9young,63,66,53,51,72,8,37,81,32,72,63,94,37,40,30,3,27,53,63,43,62,39,68
