FirstName,LastName,Username,HW01,HW02,HW03,HW04,HW05,HW06,HW07,HW08,HW09,HW10,HW11,HW12,HW13,HW14,HW15,Quiz01,Quiz02,Quiz03,Quiz04,Quiz05,Midterm1,Midterm2,Final
Hannah,Flores,h4flore,82,96,81,87,87,81,83,90,97,93,100,88,77,81,84,88,90,65,62,99,68,96,84
Ximena,Stewart,x17ste,78,70,78,28,75,59,58,77,57,68,77,70,64,75,72,41,83,56,53,46,68,91,89
Brianna,Cook,b1cook,83,95,67,76,79,68,74,58,52,83,79,74,99,85,74,61,74,88,91,80,71,71,80
Nina,Young,n22youn,79,84,89,88,81,84,93,100,83,86,81,46,89,83,82,91,85,91,85,77,86,78,20
Fatima,Russell,f27russe,64,48,60,68,78,84,38,55,22,65,64,66,66,66,57,67,32,56,30,88,72,28,46
Sara,Wood,s13wood,70,53,77,84,40,66,76,79,54,76,82,69,56,79,67,39,82,52,72,67,66,69,58
Uma,Edwards,u24edwar,49,64,70,12,3,69,78,39,77,37,30,3,50,34,46,63,67,34,93,34,84,30,73
Brianna,Edwards,b22edw,43,72,45,57,28,38,29,67,71,42,55,20,78,24,49,60,55,72,62,59,88,16,31
Iris,Wood,i15woo,58,62,58,67,84,68,69,39,67,57,76,69,63,75,65,60,73,59,29,66,38,81,58
Sara,Mitchell,s12mit,68,64,81,55,81,69,64,67,63,48,69,69,57,64,77,73,83,53,47,50,89,78,44
Gavin,Green,g18gre,58,44,35,62,37,64,26,42,76,84,71,51,19,84,22,58,66,65,61,72,46,0,71
Iris,Collins,i20col,92,98,91,92,94,58,93,97,96,100,96,95,100,97,90,97,89,90,98,94,85,95,99
Umar,Rogers,u9roge,81,95,86,77,74,89,77,90,86,71,80,76,100,65,83,93,80,81,90,88,77,76,78
Ximena,Diaz,x10dia,76,6,31,81,68,83,83,67,48,36,59,38,68,90,38,49,46,25,41,16,41,58,60
Gabriela,Sanchez,g28sanch,88,87,85,100,86,82,94,82,76,83,85,95,80,78,88,100,91,72,72,86,75,87,76
Kaitlyn,Ward,k9war,100,96,100,75,94,96,100,96,93,100,79,98,88,90,87,73,94,94,92,94,89,94,100
Daisy,Lopez,d19lope,41,60,42,31,55,49,40,62,68,76,40,47,58,54,46,46,21,73,56,15,32,74,47
Caleb,Ward,c16ward,89,83,80,86,84,84,88,90,88,75,89,79,96,89,92,86,86,81,82,94,100,92,67
Maya,Price,m22pri,97,85,87,81,92,90,87,81,72,76,86,86,77,83,84,71,83,100,82,89,92,87,35
Dylan,Baker,d18bak,89,75,97,84,100,92,84,86,80,87,84,83,84,93,75,64,78,87,90,88,80,71,61
Aaliyah,Singh,a14sin,79,62,67,43,54,22,28,37,64,56,36,55,41,51,14,16,74,66,42,50,43,44,10
Camila,Miller,c12mil,89,93,94,86,97,99,98,91,98,86,96,93,92,83,92,92,84,91,94,67,100,84,87
Maya,Henderson,m20hende,82,70,86,89,91,81,89,90,81,82,92,73,96,88,100,84,80,59,68,97,89,71,77
Leo,Diaz,l3dia,38,27,30,47,55,51,57,38,55,63,63,64,40,45,33,55,73,69,24,46,84,22,74
Evan,Miller,e24mille,73,7,66,8,53,24,75,41,63,78,37,70,40,64,56,64,39,42,56,37,15,72,66
