FirstName,LastName,Username,HW01,HW02,HW03,HW04,HW05,HW06,HW07,HW08,HW09,HW10,HW11,HW12,HW13,HW14,HW15,Quiz01,Quiz02,Quiz03,Quiz04,Quiz05,Midterm1,Midterm2,Final
Uma,Roberts,u29rob,95,89,88,94,92,92,92,98,98,99,99,92,94,97,92,88,90,79,100,93,90,86,97
Hannah,Sanchez,h19sanc,100,97,97,91,94,96,97,94,90,85,90,82,94,96,94,99,94,99,94,100,82,99,98
Uma,Rogers,u22roger,81,73,86,86,75,87,66,87,78,78,100,90,100,90,84,85,91,64,92,82,71,100,63
Gavin,Adams,g26adam,91,95,90,97,87,90,98,96,100,99,100,90,99,100,94,98,96,93,100,94,90,90,87
Kaitlyn,Stewart,k23ste,100,92,68,100,97,91,97,94,94,96,91,86,88,100,98,95,99,100,86,91,90,90,85
Ian,Gomez,i16gomez,83,92,81,79,61,91,91,100,81,92,81,93,78,78,98,89,82,77,87,80,53,84,81
Zara,Gomez,z10gomez,77,75,81,85,83,73,80,88,84,53,60,71,59,77,86,70,70,72,65,83,66,60,74
Brandon,Gray,b28gray,87,79,72,68,86,78,83,86,76,87,88,82,84,85,88,99,70,83,72,73,95,96,24
Yusuf,Zimmerman,y6zim,98,82,79,81,100,85,86,89,83,95,83,82,85,82,90,92,88,88,82,87,83,73,89
Zara,Henderson,z4hen,84,28,47,81,77,68,77,71,72,73,81,61,87,83,77,90,70,69,70,96,67,83,53
Leo,Phillips,l28phill,79,45,77,74,85,76,85,80,85,78,71,83,74,83,94,54,100,100,75,73,65,52,76
Nina,Edwards,n28edwa,89,90,82,86,82,100,97,85,84,96,45,83,88,96,89,82,75,88,92,72,85,85,80
Hugo,Miller,h28mille,100,88,91,91,89,95,91,100,89,94,85,94,91,98,95,100,55,96,90,91,96,94,95
Priya,Wood,p24woo,88,98,74,81,80,84,87,91,99,92,88,83,85,79,85,86,94,66,89,85,83,69,63
Willow,Baker,w6bake,94,98,100,100,95,96,93,95,89,88,87,92,89,86,96,87,92,90,97,100,92,98,96
Ximena,Collins,x26coll,87,78,82,68,84,86,91,85,98,75,76,90,94,87,94,78,56,98,86,75,88,92,75
Qi,Price,q25price,82,69,88,74,67,84,79,79,71,94,68,83,69,80,75,84,66,80,84,94,66,73,88
Wesley,Gomez,w12gome,82,89,81,81,75,86,99,81,81,81,86,86,96,82,81,89,76,89,77,69,65,80,77
Hannah,Kelly,h17kell,59,59,67,67,83,70,75,42,75,53,84,68,58,78,68,74,82,50,53,56,30,71,52
Iris,Roberts,i16rober,97,93,88,95,93,91,99,93,58,88,99,84,95,91,88,83,87,88,100,100,100,100,95
Caleb,Watson,c26wat,89,88,82,85,86,84,80,100,77,92,81,86,82,79,93,99,74,100,90,83,74,91,67
Camila,White,c13whi,69,84,79,78,81,67,67,43,61,63,64,59,71,72,60,47,71,81,75,67,61,75,82
Leo,Morgan,l8mor,59,93,85,100,99,77,81,87,87,82,90,88,76,87,86,86,87,86,98,90,78,84,69
Gavin,Rogers,g27roger,89,74,97,72,81,75,85,26,77,80,60,77,80,81,71,85,78,86,83,78,66,71,81
Parker,Ramirez,p15rami,36,64,54,64,69,49,45,46,62,56,48,57,43,43,7,78,57,0,48,43,54,75,75
