FirstName,LastName,Username,HW01,HW02,HW03,HW04,HW05,HW06,HW07,HW08,HW09,HW10,HW11,HW12,HW13,HW14,HW15,Quiz01,Quiz02,Quiz03,Quiz04,Quiz05,Midterm1,Midterm2,Final
Zane,Roberts,z17rober,32,64,48,45,78,65,62,54,67,64,80,51,58,81,60,43,21,57,52,47,45,63,58
Kevin,Shah,k14sha,32,77,58,15,75,65,65,56,60,94,71,62,53,81,71,44,78,69,45,51,81,38,50
Victor,Murphy,v9murph,82,98,95,75,84,93,72,85,83,92,93,87,74,86,88,86,87,85,78,83,80,92,71
Qi,Wood,q26wood,93,97,88,57,88,80,98,81,90,93,87,89,97,88,99,100,100,86,85,100,83,92,100
Owen,Henderson,o26hende,26,68,37,47,68,51,49,87,45,36,73,47,45,55,29,47,20,71,53,39,86,33,60
Iris,Martin,i8mar,64,69,70,70,55,80,14,58,79,54,75,75,57,74,81,52,58,91,78,55,77,45,47
Camila,Cook,c18cook,87,83,87,81,88,91,87,86,78,91,92,80,81,88,84,83,91,90,87,94,93,81,81
Jasper,Jackson,j25jack,81,89,81,81,89,87,90,87,83,89,87,81,91,81,85,90,88,78,69,69,94,93,96
Hugo,Phillips,h24phil,76,93,83,92,82,82,98,89,81,82,75,85,96,87,81,90,87,77,94,86,77,72,94
Victor,Gray,v27gray,68,78,53,61,61,57,73,59,71,68,79,80,62,86,61,73,67,60,70,61,66,51,64
Uma,Kelly,u13kelly,89,80,62,73,89,88,85,73,81,66,34,56,84,68,90,72,53,60,77,64,46,86,66
Parker,Phillips,p5phil,99,91,92,92,93,95,96,99,98,87,91,86,91,97,93,83,86,78,93,92,98,83,96
Gabriela,James,g6jam,56,79,56,82,33,32,69,55,75,78,73,74,51,54,59,50,80,65,66,34,41,0,28
Daisy,Collins,d26colli,58,99,94,97,87,97,98,96,93,93,88,93,93,95,94,100,59,94,99,94,95,93,77
Kevin,Cooper,k3coope,91,85,77,78,88,83,87,95,66,81,77,93,74,76,86,78,64,87,84,95,99,81,100
Victor,Kelly,v18kell,81,84,81,79,83,85,72,97,89,91,92,85,82,86,92,100,95,90,96,81,84,99,87
Daisy,Cook,d20cook,48,37,47,42,65,45,33,35,84,54,13,61,34,8,55,44,60,76,44,43,33,90,51
Felix,King,f6kin,59,74,83,58,63,69,78,63,58,69,94,70,57,62,68,61,83,66,88,53,73,49,31
Xavier,Watson,x19wats,79,90,67,82,60,88,88,73,86,81,59,77,82,66,83,65,75,73,68,61,81,53,93
Kaitlyn,Cooper,k9coop,83,92,75,78,89,77,88,87,75,79,100,87,81,91,83,66,71,93,93,80,86,71,74
Uma,James,u10jam,80,89,79,70,70,76,73,79,85,73,68,85,71,87,81,76,80,86,88,70,63,85,75
Parker,Green,p16gree,80,77,85,69,67,78,75,72,81,69,68,62,78,66,75,78,69,80,74,87,87,64,63
Jasper,Diaz,j16diaz,56,54,60,39,31,27,74,55,78,89,52,72,53,68,89,61,49,46,11,11,24,69,19
Rafael,Russell,r24russ,95,75,97,86,85,95,78,71,86,77,84,94,99,87,82,80,76,89,90,71,82,88,83
Lila,Singh,l29sing,97,100,100,95,94,97,94,96,100,96,84,93,99,100,96,98,90,100,77,100,85,75,100
